"0","XX","","1","0","0","on 9 September 2015","ANONYMOUS","Poor build and and performance.","Build quality is terrible and speeds are just about at par with a USB 2.0 drive. Not recommended at all.<br /><br />The plastic is very cheap and brittle and switching between OTG and full-size USB connector is clunky. To top it off, write speeds barely exceeded 10mbps even when connected to a USB 3.0 port.<br /><br />It's a good thing Amazon has a great returns policy. :)"
"1","XX","","1","4","5","on 13 July 2015","ANONYMOUS","Problem with toggle Switch","Problematic connecting it to a computer or phone , as the toggle switch lock slips and has to be physically  held in place to be inserted into USB."
"2","XX","","1","0","0","on 26 October 2015","ANONYMOUS","If you can compromise quality...","This product will feel very poor quality. Very flimsy plastic.<br /><br />Product working fine as USB thumb drive, no longer works as OTG (may be just me),  tried on Moto G3, G2, Zenfone.<br /><br />Requested a refund, not yet got one (Not even came to collect the product)<br /><br />Disappointed by product and service."
"3","XX","","1","0","0","on 17 November 2015","ANONYMOUS","Slider life is very short, device usage is problematic.","Though OTG is good feature, this device is not good. Issue is with slider which got loose within first week of purchase. And since slider lock was not working properly, it is hard to connect this device with laptop.<br /><br />I had returned it and now looking for another device without slider."
"4","XX","","1","0","0","on 17 November 2015","ANONYMOUS","Defective device","This item is defective as this is not working well with my Moto g3 mobile ,when I connect it to mobile and transfer some data in few seconds it shows device removed so I can't use this item .and also I can't delete/ paste data to this from my laptop Sony . so this item is useless for me."
"5","XX","","1","0","0","on 14 January 2016","ANONYMOUS","Worst pen drive due to stupid slider","I don't know if I received a faulty piece or its a problem in the design, the slider has no strength whatsoever when I try to plug it in my laptop or tv slider moves back and the same happens with mobile,  I need to hold the slider with thump and then only I can plug it successfully"
"6","XX","","1","0","0","on 24 December 2015","ANONYMOUS","Please replace it","I had connected the OTG to my mobile &amp; tried to copy the movie in it, but it gets disconnects. Same problem in another mobile also. When I used my friends OTG it got copied properly. That  means the amazon OTG is defective. So please arrange to replace it"
"7","XX","","1","0","0","on 15 October 2015","ANONYMOUS","Bad product.","Im not satisfied, i buyed this product in offer for 499/- .<br />It is very slow with written speed only of less than 15.0mbps always in 3.0 usb port also.<br />Please provide good product when ever they buy with offer or without. It's really bad on your part amazon."
"8","XX","","1","0","0","on 30 September 2015","ANONYMOUS","Not satisfied with the product this time","product is ok but this time I am not satisfied with the product space., in 32gb otg pen drive there is only space of 28.94gb it means 3.6gb less then the original space. . so for that I am giving only 1 star that too for Amazon not for the Pen dirive"
"9","XX","","1","0","0","on 4 December 2015","ANONYMOUS","It's automatically removed when we are adding or copying something ...","It's automatically removed when we are adding or copying something. Sometime it's take long time to connect and few seconds it's removed automatically. Don't know whats the problem with this, even I have checked this other mobile phone as well."
"10","XX","","1","1","1","on 15 November 2015","ANONYMOUS","Disappointed 🙍🙍","Not working for mobile pin"
"11","XX","","1","0","0","on 21 February 2016","ANONYMOUS","Don't Buy OTG not working","Don't buy! Not working since purchase, requested return a same day when received yet their is no action taken."
"12","XX","","1","0","0","on 28 December 2015","ANONYMOUS","Waiting for my refund. It has been 7 days now","Didnt work well for me and have returned it back next day. It has been 7 days and still waiting for my refund."
"13","XX","","1","0","0","on 10 November 2015","ANONYMOUS","Waste of money....","Aweful product, not working properly. Also the product is not as shown in the image. I'm really disappointed."
"14","XX","","1","0","0","on 2 November 2015","ANONYMOUS","Size less than specified","Not yet used. Got just now...but size shows 28 gb out of 32 gb......this is cheating....no where specified so"
"15","XX","","1","0","0","on 20 January 2016","ANONYMOUS","The product I received is not of good quality. It's slider is not working","The product I received is not of good quality . It's slider is not working . Very disappointed from amazon"
"16","XX","","1","0","0","on 26 September 2015","ANONYMOUS","not a good product","Pen drive is not in good condition and while I transfer small amount of data it hanged for so much time ."
"17","XX","","1","0","0","on 11 October 2015","ANONYMOUS","OTG switch does not work well.","OTG micro USB does not work properly. Poor design for the switch between two drives , not strong enough."
"18","XX","","1","1","1","on 16 November 2015","ANONYMOUS","One Star","Does not fit in nexus 6p"
"19","XX","","1","0","0","on 2 February 2016","ANONYMOUS","Pen drive is not detected in the android think there ...","Pen drive is not detected in the android think there might be a problem, so I had applied a replacement"
"20","XX","","1","0","0","on 7 December 2015","ANONYMOUS","I pitty again I wasted my funds","It says its 32gb but it is not it is 28gb .. I believe this product is the one sold on cstm manish market.. I pitty again I wasted my funds"
"21","XX","","1","0","0","on 7 October 2015","ANONYMOUS","This product is very poor, don't buy it wastage of money","This product is very  poor,  don't buy it wastage of money. Products are pre defective.  The slider of usb is loose.  Not durable  product."
"22","XX","","1","0","0","on 16 October 2015","ANONYMOUS","pen drive not satisfied","It gives problem while inserting pen drive in mobile. Even when pen drive is inserted in mobile then also sometimes it gets rejected"
"23","XX","","1","0","0","on 18 November 2015","ANONYMOUS","it write speed is very slow and read speed is like memory card of class 4","Its too slow. it write speed is very slow and read speed is like memory card of class 4.<br />I suggest you don't buy this..... :-("
"24","XX","","1","0","0","on 27 August 2015","ANONYMOUS","Can't connecting","i have purchase this pen drive i connected pc and laptop its permormance is very well but its not detected in my moto e (2nd gen )"
"25","XX","","1","0","0","on 29 January 2016","ANONYMOUS","it is not all detecting in mobile poor performance.","it is not all detecting in mobile<br /><br />poor performance..<br /><br />If i get a chance would prefer to return back to AMZON"
"26","XX","","1","1","1","on 23 September 2015","ANONYMOUS","want to return","Can't connect to Android mobile"
